EntrezGeneID,control.1,control.2,control.3,control.4,control.5,case.1,case.2,case.3,case.4,case.5
441151,3.1496975,3.0468185,3.1182365,3.0977775,3.275736,3.221002,3.180495,3.586953,3.063738,3.0808845
441155,8.726543,7.683427,7.8775415,8.194768,8.699397,7.7176175,8.50102,7.5341225,7.550927,7.8813765
441194,5.212376,4.9354105,5.0028095,5.1805135,5.6599155,5.483981,5.9171155,5.2014965,5.5757025,5.088562
441204,3.253484,3.022889,3.269611,2.610326,2.992686,3.149504,3.172854,3.074059,2.94065,2.685657
441259,5.727499,4.9677,5.654207,4.7559545,5.5268755,5.5697795,5.8772675,5.70467,5.809461,5.612691
441263,6.7940035,6.3157305,6.9635815,6.159149,7.3014505,7.0488485,7.298552,7.467181,7.073931,6.7123195
441273,6.362539,4.242006,6.771491,5.799877,6.689053,5.042037,7.69756,4.91128,7.348693,4.395553
441294,6.951865,5.96397,6.075997,6.005577,7.652722,4.85074,7.645902,6.42231,6.761195,5.264897
441295,4.248377,3.876855,3.866535,4.273714,3.356519,3.452748,4.070737,3.910881,5.535288,3.729779
441402,2.987039,2.782514,2.913349,2.886541,2.895582,2.898135,3.049546,2.876386,2.824259,2.950549
441502,11.72771,10.57509,10.76433,11.01109,11.13399,11.7722,11.72258,11.92952,11.10839,11.70518
441528,4.2666845,4.3147645,3.7739025,4.023883,3.1643275,4.406458,3.879249,4.541041,3.6305485,3.842289
441601,3.021282,3.066829,3.174053,3.178861,2.946413,3.006728,3.376788,3.363941,3.227659,6.194315
441666,2.629786,2.734508,2.655929,2.702925,2.757161,2.549118,2.808674,2.96526,2.48803,2.739285
442186,2.709261,2.70689,2.686713,2.785,2.708477,2.726646,2.672127,2.976326,2.639903,2.848151
442194,2.912117,2.844376,3.000428,3.103712,2.992686,2.941146,2.985228,2.864885,3.176615,2.910665
442240,3.5612785,4.4440845,3.995585,4.0320015,4.288302,3.870306,3.9032655,4.588286,3.948463,4.736495
442421,3.016282,3.056867,2.858644,3.074742,3.025592,2.97885,3.034744,3.292828,2.865221,2.934619
442862,2.928619,3.056232,3.30851,2.898149,3.097061,2.98434,2.937237,3.051186,2.802798,3.16473
442920,2.9714445,2.938792,3.160202,3.4014895,3.0430375,8.533411,3.3975415,3.063567,3.327757,3.1033725
443,2.910114,3.092019,2.687258,2.700958,2.907443,2.834069,3.065241,2.806234,2.670998,2.87816
4430,4.508911333,4.532685,4.288805333,4.731900333,3.865826,5.130892333,4.601856333,4.377898333,3.770546333,4.151863333
4435,3.308947,3.038788,3.027317,3.079316,3.10052,3.015792,3.215088,3.26992,2.937474,3.289988
4436,6.990265,6.70059,6.730388,5.943102,6.045532,5.573717,6.755206,6.797208,6.048428,8.360481
4437,4.9683115,4.7881055,4.975395,4.9824635,5.306232,5.3610945,5.2867585,5.1568965,4.9582595,4.632262
4438,2.861899,2.75097,2.646922,2.632192,2.631321,2.740044,2.589381,2.768942,2.799995,2.707744
4439,3.539978333,3.060045333,3.869427,3.324962667,4.150199667,3.432324,4.780374333,3.635860667,3.881922667,3.398003667
444,4.62594325,4.58899775,4.008308,4.4561845,3.8460855,4.59641825,4.3385615,4.4587765,4.141125,4.525737
4440,3.276802,3.332019,3.459499,3.226241,3.181811,3.242318,3.23204,3.168284,3.25709,3.3087
445,10.710319,10.874673,10.925294,11.019025,10.718454,11.761268,11.036847,11.4181,10.803585,10.823986
445329,5.684248,4.867489333,6.098097667,5.101953,5.902098333,5.707383,6.331585333,5.286432,5.905096,4.909164333
445347,3.170410167,3.078015,3.467731667,3.374896667,3.381896333,3.202073333,3.119618667,3.244937667,3.698734333,3.1442395
445372,3.735619,3.51752,3.20748,3.404372,3.895738,3.437795,4.199344,3.143441,3.212119,4.444224
445571,7.63037,7.136796,6.310646,5.482525,5.259188,6.457792,6.439561,6.50451,5.900102,6.622389
445815,5.9884575,6.501598,5.2626215,6.6393115,5.55999,6.8518335,5.742363,6.316523,6.2793315,5.2550945
4477,2.814815,2.7910185,2.7056605,2.6815335,2.7926075,2.6523555,2.813217,2.943107,2.8521595,2.9155165
4478,8.127644,8.931882,9.063633,8.774187,9.510848,8.404359,8.874514,8.819381,9.886074,7.134845
4481,3.080144,3.2814985,3.295908,3.5177965,3.39387425,3.33763525,2.97839575,3.3827665,3.55777975,3.71971
4482,5.470678,4.92908,4.908243,4.360619,5.300916,5.706357,5.237138,5.697732,4.51951,5.444781
4485,5.382857,4.847143667,6.017096,5.398193667,4.933973667,5.925890667,7.260375,6.493489667,6.545612667,4.983261
4486,4.284136,3.516482,5.470416,3.845007,4.68018,5.122314,3.954743,4.543933,4.50481,4.936811
4487,4.51318,8.078442,4.017929,3.751287,4.143669,8.069162,4.672137,3.775892,5.029686,3.707588
4488,2.939846667,2.745626667,2.790089,2.954725667,2.624592333,3.171431,2.735464333,2.788129667,2.874451333,2.928245667
4493,7.881704,9.382139,6.638581,9.273231,8.498198,7.876943,10.232095,9.435071,8.279006,7.360701
4494,8.410873,9.207481,7.679853,8.7889225,7.954922,6.8675295,8.9010015,8.6764455,6.735571,9.589175
4495,5.378005,5.698668,6.2905045,6.2254815,6.5365005,5.1886185,6.3921215,6.5907895,5.736185,6.6180905
4496,7.544961,8.681095,8.624651,8.886447,8.904726,7.285684,9.409053,9.155518,7.752151,9.437384
4499,3.830902,5.764171,6.677914,5.695936,6.130102,3.653592,6.12954,7.152212,3.47055,7.281199
4501,8.342318,8.972533,9.1428685,9.27684,8.8487595,8.2119115,9.145542,8.9564225,7.8835935,9.9677755
